Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:55:40.206,target,pistol,0s,1,1,1,25,50,0.5,false
2,12:55:40.789,target,pistol,0s,1,1,1,25,50,0.5,false
3,12:55:41.039,target,pistol,0s,1,1,1,25,50,0.5,false
4,12:55:41.272,target,pistol,0s,1,1,1,25,50,0.5,false
5,12:55:41.589,target,pistol,0s,1,1,1,25,50,0.5,false
6,12:55:41.881,target,pistol,0.001s,1,1,1,25,50,0.5,false
7,12:55:42.122,target,pistol,0s,1,1,1,25,50,0.5,false
8,12:55:42.439,target,pistol,0s,1,1,1,25,50,0.5,false
9,12:55:42.764,target,pistol,0s,1,1,1,25,50,0.5,false
10,12:55:43.022,target,pistol,0s,1,1,1,25,50,0.5,false
11,12:55:43.381,target,pistol,0s,1,1,1,25,50,0.5,false
12,12:55:43.822,target,pistol,0s,1,1,1,25,50,0.5,false
13,12:55:44.590,target,pistol,0.443s,2,1,0.5,25,100,0.25,false
14,12:55:44.997,target,pistol,0s,1,1,1,25,50,0.5,false
15,12:55:45.231,target,pistol,0s,1,1,1,25,50,0.5,false
16,12:55:45.514,target,pistol,0s,1,1,1,25,50,0.5,false
17,12:55:45.806,target,pistol,0s,1,1,1,25,50,0.5,false
18,12:55:46.081,target,pistol,0s,1,1,1,25,50,0.5,false
19,12:55:46.340,target,pistol,0s,1,1,1,25,50,0.5,false
20,12:55:46.747,target,pistol,0s,1,1,1,25,50,0.5,false
21,12:55:47.097,target,pistol,0s,1,1,1,25,50,0.5,false
22,12:55:47.406,target,pistol,0s,1,1,1,25,50,0.5,false
23,12:55:47.615,target,pistol,0s,1,1,1,25,50,0.5,false
24,12:55:47.922,target,pistol,0s,1,1,1,25,50,0.5,false
25,12:55:48.189,target,pistol,0s,1,1,1,25,50,0.5,false
26,12:55:48.572,target,pistol,0s,1,1,1,25,50,0.5,false
27,12:55:48.806,target,pistol,0s,1,1,1,25,50,0.5,false
28,12:55:49.189,target,pistol,0s,1,1,1,25,50,0.5,false
29,12:55:49.556,target,pistol,0s,1,1,1,25,50,0.5,false
30,12:55:49.955,target,pistol,0s,1,1,1,25,50,0.5,false
31,12:55:50.206,target,pistol,0s,1,1,1,25,50,0.5,false
32,12:55:50.506,target,pistol,0s,1,1,1,25,50,0.5,false
33,12:55:50.798,target,pistol,0s,1,1,1,25,50,0.5,false
34,12:55:51.347,target,pistol,0.233s,2,1,0.5,25,100,0.25,false
35,12:55:51.639,target,pistol,0s,1,1,1,25,50,0.5,false
36,12:55:52.023,target,pistol,0s,1,1,1,25,50,0.5,false
37,12:55:52.756,target,pistol,0.417s,2,1,0.5,25,100,0.25,false
38,12:55:53.389,target,pistol,0.342s,2,1,0.5,25,100,0.25,false
39,12:55:53.682,target,pistol,0s,1,1,1,25,50,0.5,false
