Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:48:58.975,target,BB Gun,0s,1,1,1,1,1,1,false
2,12:48:59.762,target,BB Gun,0.291s,2,1,0.5,1,2,0.5,false
3,12:49:00.313,target,BB Gun,0s,1,1,1,1,1,1,false
4,12:49:00.829,target,BB Gun,0s,1,1,1,1,1,1,false
5,12:49:01.296,target,BB Gun,0s,1,1,1,1,1,1,false
6,12:49:01.662,target,BB Gun,0s,1,1,1,1,1,1,false
7,12:49:02.104,target,BB Gun,0s,1,1,1,1,1,1,false
8,12:49:02.754,target,BB Gun,0s,1,1,1,1,1,1,false
9,12:49:03.079,target,BB Gun,0s,1,1,1,1,1,1,false
10,12:49:03.412,target,BB Gun,0s,1,1,1,1,1,1,false
11,12:49:03.712,target,BB Gun,0s,1,1,1,1,1,1,false
12,12:49:04.037,target,BB Gun,0s,1,1,1,1,1,1,false
13,12:49:04.679,target,BB Gun,0s,1,1,1,1,1,1,false
14,12:49:05.179,target,BB Gun,0.001s,1,1,1,1,1,1,false
15,12:49:05.570,target,BB Gun,0s,1,1,1,1,1,1,false
16,12:49:06.245,target,BB Gun,0s,1,1,1,1,1,1,false
17,12:49:06.729,target,BB Gun,0.001s,1,1,1,1,1,1,false
18,12:49:07.180,target,BB Gun,0.001s,1,1,1,1,1,1,false
19,12:49:07.879,target,BB Gun,0.275s,2,1,0.5,1,2,0.5,false
20,12:49:08.270,target,BB Gun,0s,1,1,1,1,1,1,false
21,12:49:08.696,target,BB Gun,0s,1,1,1,1,1,1,false
22,12:49:09.345,target,BB Gun,0.258s,2,1,0.5,1,2,0.5,false
23,12:49:09.679,target,BB Gun,0s,1,1,1,1,1,1,false
24,12:49:09.972,target,BB Gun,0s,1,1,1,1,1,1,false
25,12:49:10.563,target,BB Gun,0s,1,1,1,1,1,1,false
26,12:49:11.013,target,BB Gun,0s,1,1,1,1,1,1,false
27,12:49:11.422,target,BB Gun,0.001s,1,1,1,1,1,1,false
28,12:49:11.862,target,BB Gun,0s,1,1,1,1,1,1,false
29,12:49:12.321,target,BB Gun,0s,1,1,1,1,1,1,false
30,12:49:12.812,target,BB Gun,0s,1,1,1,1,1,1,false
31,12:49:13.171,target,BB Gun,0s,1,1,1,1,1,1,false
32,12:49:13.954,target,BB Gun,0.209s,2,1,0.5,1,2,0.5,false
33,12:49:14.413,target,BB Gun,0s,1,1,1,1,1,1,false
34,12:49:14.679,target,BB Gun,0s,1,1,1,1,1,1,false
35,12:49:15.071,target,BB Gun,0s,1,1,1,1,1,1,false
36,12:49:15.762,target,BB Gun,0.224s,2,1,0.5,1,2,0.5,false
37,12:49:15.996,target,BB Gun,0.001s,1,1,1,1,1,1,false
38,12:49:16.337,target,BB Gun,0s,1,1,1,1,1,1,false
39,12:49:17.021,target,BB Gun,0.35s,2,1,0.5,1,2,0.5,false
40,12:49:17.379,target,BB Gun,0s,1,1,1,1,1,1,false
41,12:49:18.080,target,BB Gun,0.001s,1,1,1,1,1,1,false
42,12:49:18.413,target,BB Gun,0s,1,1,1,1,1,1,false
