Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:33:31.104,Quaker Bot Long Strafes,LG,5.008s,110,50,0.455,300,660,0.455,false
2,12:33:39.287,Quaker Bot Long Strafes,LG,7.917s,142,50,0.352,300,852,0.352,false
3,12:33:46.921,Quaker Bot Long Strafes,LG,5.791s,127,50,0.394,300,762,0.394,false
4,12:33:56.306,Quaker Bot Long Strafes,LG,7.492s,164,50,0.305,300,984,0.305,false
5,12:34:04.847,Quaker Bot Long Strafes,LG,6.666s,146,50,0.342,300,876,0.342,false
6,12:34:13.473,Quaker Bot Long Strafes,LG,6.759s,148,50,0.338,300,888,0.338,false
7,12:34:22.014,Quaker Bot Long Strafes,LG,6.666s,146,50,0.342,300,876,0.342,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1014,364,2184.0,6084.0,

Kills:,7
Deaths:,0
Fight Time:,46.299
Avg TTK:,8.571
Damage Done:,2184.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2352.0
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
