Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
67,12:55:18.996,target,pistol,0.458s,2,1,0.5,25,100,0.25,false
68,12:55:19.338,target,pistol,0s,1,1,1,25,50,0.5,false
69,12:55:19.946,target,pistol,0.283s,2,1,0.5,25,100,0.25,false
70,12:55:20.263,target,pistol,0s,1,1,1,25,50,0.5,false
71,12:55:20.571,target,pistol,0s,1,1,1,25,50,0.5,false
72,12:55:20.996,target,pistol,0s,1,1,1,25,50,0.5,false
73,12:55:21.238,target,pistol,0s,1,1,1,25,50,0.5,false
74,12:55:21.479,target,pistol,0s,1,1,1,25,50,0.5,false
75,12:55:21.697,target,pistol,0s,1,1,1,25,50,0.5,false
76,12:55:21.980,target,pistol,0s,1,1,1,25,50,0.5,false
77,12:55:22.230,target,pistol,0s,1,1,1,25,50,0.5,false
78,12:55:22.613,target,pistol,0s,1,1,1,25,50,0.5,false
79,12:55:22.922,target,pistol,0s,1,1,1,25,50,0.5,false
80,12:55:23.272,target,pistol,0.001s,1,1,1,25,50,0.5,false
81,12:55:23.905,target,pistol,0.317s,2,1,0.5,25,100,0.25,false
82,12:55:24.146,target,pistol,0s,1,1,1,25,50,0.5,false
83,12:55:24.455,target,pistol,0s,1,1,1,25,50,0.5,false
84,12:55:24.821,target,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,92,84,2100.0,4600.0,

Kills:,84
Deaths:,0
Fight Time:,2.398
Avg TTK:,0.357
Damage Done:,2100.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,76.695656
Scenario:,Tile Frenzy
Hash:,9f1c0c5d02cf79b5d834b1df84eaeb83
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
