Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:39:07.368,Quaker Bot Long Strafes,LG,5.425s,119,50,0.42,300,714,0.42,false
2,12:39:15.568,Quaker Bot Long Strafes,LG,6.342s,139,50,0.36,300,834,0.36,false
3,12:39:22.569,Quaker Bot Long Strafes,LG,5.15s,113,50,0.442,300,678,0.442,false
4,12:39:29.069,Quaker Bot Long Strafes,LG,4.642s,102,50,0.49,300,612,0.49,false
5,12:39:38.785,Quaker Bot Long Strafes,LG,9.441s,174,50,0.287,300,1044,0.287,false
6,12:39:45.911,Quaker Bot Long Strafes,LG,6.85s,117,50,0.427,300,702,0.427,false
7,12:39:55.561,Quaker Bot Long Strafes,LG,7.817s,171,50,0.292,300,1026,0.292,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1025,380,2280.0,6150.0,

Kills:,7
Deaths:,0
Fight Time:,45.667
Avg TTK:,8.571
Damage Done:,2280.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2535.804932
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
