Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:54:16.162,target,pistol,0s,1,1,1,25,50,0.5,false
2,12:54:16.454,target,pistol,0s,1,1,1,25,50,0.5,false
3,12:54:17.070,target,pistol,0s,1,1,1,25,50,0.5,false
4,12:54:17.787,target,pistol,0.4s,2,1,0.5,25,100,0.25,false
5,12:54:18.087,target,pistol,0.001s,1,1,1,25,50,0.5,false
6,12:54:18.387,target,pistol,0.001s,1,1,1,25,50,0.5,false
7,12:54:18.670,target,pistol,0s,1,1,1,25,50,0.5,false
8,12:54:19.012,target,pistol,0s,1,1,1,25,50,0.5,false
9,12:54:19.278,target,pistol,0s,1,1,1,25,50,0.5,false
10,12:54:19.562,target,pistol,0s,1,1,1,25,50,0.5,false
11,12:54:19.903,target,pistol,0s,1,1,1,25,50,0.5,false
12,12:54:20.428,target,pistol,0.258s,2,1,0.5,25,100,0.25,false
13,12:54:20.721,target,pistol,0s,1,1,1,25,50,0.5,false
14,12:54:21.053,target,pistol,0s,1,1,1,25,50,0.5,false
15,12:54:21.338,target,pistol,0s,1,1,1,25,50,0.5,false
16,12:54:21.605,target,pistol,0s,1,1,1,25,50,0.5,false
17,12:54:22.471,target,pistol,0.358s,2,1,0.5,25,100,0.25,false
18,12:54:23.237,target,pistol,0.283s,2,1,0.5,25,100,0.25,false
19,12:54:23.445,target,pistol,0s,1,1,1,25,50,0.5,false
20,12:54:23.770,target,pistol,0s,1,1,1,25,50,0.5,false
21,12:54:24.096,target,pistol,0s,1,1,1,25,50,0.5,false
22,12:54:24.462,target,pistol,0s,1,1,1,25,50,0.5,false
23,12:54:24.720,target,pistol,0s,1,1,1,25,50,0.5,false
24,12:54:25.328,target,pistol,0.308s,2,1,0.5,25,100,0.25,false
25,12:54:25.628,target,pistol,0s,1,1,1,25,50,0.5,false
26,12:54:25.963,target,pistol,0s,1,1,1,25,50,0.5,false
