Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:51:50.021,target,BB Gun,0s,1,1,1,1,1,1,false
2,12:51:50.429,target,BB Gun,0s,1,1,1,1,1,1,false
3,12:51:50.871,target,BB Gun,0s,1,1,1,1,1,1,false
4,12:51:51.197,target,BB Gun,0s,1,1,1,1,1,1,false
5,12:51:51.747,target,BB Gun,0s,1,1,1,1,1,1,false
6,12:51:52.080,target,BB Gun,0s,1,1,1,1,1,1,false
7,12:51:52.663,target,BB Gun,0s,1,1,1,1,1,1,false
8,12:51:53.338,target,BB Gun,0.366s,2,1,0.5,1,2,0.5,false
9,12:51:54.230,target,BB Gun,0.359s,2,1,0.5,1,2,0.5,false
10,12:51:54.588,target,BB Gun,0s,1,1,1,1,1,1,false
11,12:51:55.380,target,BB Gun,0s,1,1,1,1,1,1,false
12,12:51:56.122,target,BB Gun,0s,1,1,1,1,1,1,false
13,12:52:12.529,target,BB Gun,0.001s,1,1,1,1,1,1,false
14,12:52:12.787,target,BB Gun,0s,1,1,1,1,1,1,false
15,12:52:13.287,target,BB Gun,0s,1,1,1,1,1,1,false
16,12:52:13.796,target,BB Gun,0s,1,1,1,1,1,1,false
17,12:52:14.254,target,BB Gun,0s,1,1,1,1,1,1,false
18,12:52:15.037,target,BB Gun,0s,1,1,1,1,1,1,false
19,12:52:15.404,target,BB Gun,0s,1,1,1,1,1,1,false
20,12:52:16.004,target,BB Gun,0s,1,1,1,1,1,1,false
21,12:52:16.629,target,BB Gun,0.001s,1,1,1,1,1,1,false
22,12:52:18.112,target,BB Gun,0s,1,1,1,1,1,1,false
23,12:52:18.587,target,BB Gun,0s,1,1,1,1,1,1,false
24,12:52:18.996,target,BB Gun,0s,1,1,1,1,1,1,false
25,12:52:19.320,target,BB Gun,0s,1,1,1,1,1,1,false
26,12:52:19.995,target,BB Gun,0s,1,1,1,1,1,1,false
27,12:52:20.571,target,BB Gun,0.001s,1,1,1,1,1,1,false
28,12:52:21.120,target,BB Gun,0s,1,1,1,1,1,1,false
29,12:52:21.412,target,BB Gun,0s,1,1,1,1,1,1,false
30,12:52:22.030,target,BB Gun,0s,1,1,1,1,1,1,false
