Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:47:38.497,Quaker Bot Long Strafes,LG,7.216s,158,50,0.316,300,948,0.316,false
2,12:47:46.430,Quaker Bot Long Strafes,LG,6.067s,133,50,0.376,300,798,0.376,false
3,12:47:52.839,Quaker Bot Long Strafes,LG,6.185s,101,50,0.495,300,606,0.495,false
4,12:47:59.956,Quaker Bot Long Strafes,LG,5.241s,115,50,0.435,300,690,0.435,false
5,12:48:07.864,Quaker Bot Long Strafes,LG,6.025s,132,50,0.379,300,792,0.379,false
6,12:48:14.607,Quaker Bot Long Strafes,LG,6.467s,109,50,0.459,300,654,0.459,false
7,12:48:20.732,Quaker Bot Long Strafes,LG,4.316s,95,50,0.526,300,570,0.526,false
8,12:48:28.857,Quaker Bot Long Strafes,LG,6.301s,138,50,0.362,300,828,0.362,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,982,400,2400.0,5892.0,

Kills:,8
Deaths:,0
Fight Time:,47.818001
Avg TTK:,7.5
Damage Done:,2400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2932.790283
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
